id,V1,V2,V3,V4,V5,,V7,V8,V9,V10,SC0_0,SC0_1,SC0_2,Q1,Q104,Q105,Q40,Q107,control,A1_StA1,A2_StA2,A3_ASt1,A4_ASt2,A5_StF1,A6_StF2,A7_FSt1,A8_FSt2,A9_StS1,A10_StS2,A11_SSt1,A12_SSt2,A13_AF1,A14_AF2,A15_FA1,A16_FA2,A17_AS1,A18_AS2,A19_SA1,A20_SA2,A21_FS1,A22_FS2,A23_SF1,A24_SF2,A25_StF,A26_StF,A27_AS,A28_AS,A29_Sst,A30_Sst,A31_FA,A32_FA,Q56,ma__a_3,ma__a_4,caneca_3,caneca_4,bone_3,bone4,choco3,choco4,queque3,queque4,presente_3,presente_4,caneta_3,caneta4,Q59,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q58,Q12,A1S,A2R,A3F,A4F,A5H_S,A6E,A7S,A8F,A9E,A10E,A11R,A12F,A13R,A14F,A15H_S,A16E,A17H_S,A18F,A19R,A20H_S,A21S,A22S,A23H_S,A24R,A25R,A26H_S,A27S,A28S,A29E,A30E,Q73_1_1,Q73_1_2,Q73_1_3,Q73_1_4,Q73_1_5,Q73_1_6,Q73_1_7,Q73_1_8,Q73_1_9,Q73_2_1,Q73_2_2,Q73_2_3,Q73_2_4,Q73_2_5,Q73_2_6,Q73_2_7,Q73_2_8,Q73_2_9,Q75_1_1,Q75_1_2,Q75_1_3,Q75_1_4,Q75_1_5,Q75_1_6,Q75_1_7,Q75_1_8,Q75_1_9,Q75_1_10,Q75_2_1,Q75_2_2,Q75_2_3,Q75_2_4,Q75_2_5,Q75_2_6,Q75_2_7,Q75_2_8,Q75_2_9,Q75_2_10,Q62,Q53,Q46,Q48,Q64,Q66,Q63,Q55,DO_BR_FL_11,DO_BL_critical,DO_BL_SOMI,DO_Q_control,DO_Q_1_StA1,DO_Q_2_StA2,DO_Q_3_ASt1,DO_Q_4_ASt2,DO_Q_ma__a_3,DO_Q_ma__a_4,DO_Q_caneca_3,DO_Q_caneca_4,DO_Q_bone_3,DO_Q_bone4,DO_Q_choco3,DO_Q_choco4,DO_Q_queque3,DO_Q_queque4,DO_Q_presente_3,DO_Q_presente_4,DO_Q_caneta_3,DO_Q_caneta4,DO_Q_5_StF1,DO_Q_6_StF2,DO_Q_7_FSt1,DO_Q_8_FSt2,DO_Q_9_StS1,DO_Q_10_StS2,DO_Q_11_SSt1,DO_Q_12_SSt2,DO_Q_13_AF1,DO_Q_14_AF2,DO_Q_15_FA1,DO_Q_16_FA2,DO_Q_17_AS1,DO_Q_18_AS2,DO_Q_19_SA1,DO_Q_20_SA2,DO_Q_21_FS1,DO_Q_22_FS2,DO_Q_23_SF1,DO_Q_24_SF2,DO_Q_25_StF,DO_Q_26_StF,DO_Q_27_AS,DO_Q_28_AS,DO_Q_29_Sst,DO_Q_30_Sst,DO_Q_31_FA,DO_Q_32_FA,,,LocationAccuracy,status1,status2,status3,status4,status5,status6,status7,status8,status9,status10,status11,status12,ambiente1,ambiente2,ambiente3,ambiente4,ambiente13,ambiente14,ambiente15,ambiente16,ambiente17,ambiente18,ambiente19,ambiente20,financeiro5,financeiro6,financeiro7,financeiro8,financeiro13,financeiro14,financeiro15,financeiro16,financeiro21,financeiro22,financeiro23,financeiro24,social9,social10,social11,social12,social17,social18,social19,social20,social21,social22,social23,social24,Scenario,escolha,Tem_Val,Comb,Dimension,dimension_rec,Q_comida_fora,Q_risk_aversion,Q_consumo_sustentavel,SOMI,Q_SOMI,PredictedProbability_01,PredictedValue
55,R_3hF02GwHwZswVaW,Default Response Set,Anonymous, , ,,0,12/03/2019 11:27,12/03/2019 11:50,1,357,3.5,2.944200542,1, ,37,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,3,0,4,0,2,0,4,0,1,0,1,1,1,6,1,1,1,1,1,1,7,4,1,4,5,2,7,1,1,1,3,3,1,2,5,2,1,5,6,1,7,7,2,5,6,2,6,7,5,2,2,5,5,5,7,7,7,7,7,3,5,5,6,7,7,7,7,7,5,6,6,7,7,6,6,7,6,5,5,5,6,7,7,6,6,7,6,5,1,0,0, ,0,0,1,1,critical,14_AF2|26_StF|32_FA|30_Sst|5_StF1|16_FA2|22_FS2|12_SSt2|2_StA2|1_StA1|9_StS1|4_ASt2|31_FA|7_FSt1|27_AS|6_StF2|3_ASt1|10_StS2|20_SA2|17_AS1|11_SSt1|25_StF|23_SF1|18_AS2|15_FA1|28_AS|13_AF1|24_SF2|21_FS1|29_Sst|8_FSt2|19_SA1,caneca 4|presente 4|choco4|maça 4|choco3|caneta 3|maça 3|bone 3|caneta4|presente 3|bone4|caneca 3|queque3|queque4,1|0,0|1,0|1,1|0,0|1,0|0|1,2|1|4|3,0|1|0,3|2|4|1,0|1|0,4|1|2|3,0|0|1,2|1|3|4,0|1|0,3|1|2|4,0|1|0,1|4|3|2,1|0|0,3|1|2|4,0|1,0|1,0|1,0|1,0|1,0|1,1|0,1|0,0|1,0|1,1|0,0|1,0|1,1|0,1|0,1|0,0|1,0|1,0|1,0|1,0|1,1|0,0|1,1|0,1|0,1|0,1|0,0|1,,,-1,1, , ,1,1, , , ,1, , ,1, ,1,1, ,1, , ,1,1, , ,1, ,1,1,1, ,1,1, ,1, ,1,1, ,1,1, , ,1,1, , ,1, , ,23,1,1,6,3,3,1.833333333,3.7,5.973684211,0,0,0.916703513,0
55,R_3hF02GwHwZswVaW,Default Response Set,Anonymous, , ,,0,12/03/2019 11:27,12/03/2019 11:50,1,357,3.5,2.944200542,1, ,37,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,3,0,4,0,2,0,4,0,1,0,1,1,1,6,1,1,1,1,1,1,7,4,1,4,5,2,7,1,1,1,3,3,1,2,5,2,1,5,6,1,7,7,2,5,6,2,6,7,5,2,2,5,5,5,7,7,7,7,7,3,5,5,6,7,7,7,7,7,5,6,6,7,7,6,6,7,6,5,5,5,6,7,7,6,6,7,6,5,1,0,0, ,0,0,1,1,critical,14_AF2|26_StF|32_FA|30_Sst|5_StF1|16_FA2|22_FS2|12_SSt2|2_StA2|1_StA1|9_StS1|4_ASt2|31_FA|7_FSt1|27_AS|6_StF2|3_ASt1|10_StS2|20_SA2|17_AS1|11_SSt1|25_StF|23_SF1|18_AS2|15_FA1|28_AS|13_AF1|24_SF2|21_FS1|29_Sst|8_FSt2|19_SA1,caneca 4|presente 4|choco4|maça 4|choco3|caneta 3|maça 3|bone 3|caneta4|presente 3|bone4|caneca 3|queque3|queque4,1|0,0|1,0|1,1|0,0|1,0|0|1,2|1|4|3,0|1|0,3|2|4|1,0|1|0,4|1|2|3,0|0|1,2|1|3|4,0|1|0,3|1|2|4,0|1|0,1|4|3|2,1|0|0,3|1|2|4,0|1,0|1,0|1,0|1,0|1,0|1,1|0,1|0,0|1,0|1,1|0,0|1,0|1,1|0,1|0,1|0,0|1,0|1,0|1,0|1,0|1,1|0,0|1,1|0,1|0,1|0,1|0,0|1,,,-1,1, , ,1,1, , , ,1, , ,1, ,1,1, ,1, , ,1,1, , ,1, ,1,1,1, ,1,1, ,1, ,1,1, ,1,1, , ,1,1, , ,1, , ,24,0,1,6,3,3,1.833333333,3.7,5.973684211,0,0,0.916703509,0
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,1,0,0,1,1,4,3.5,3.166666667,6.552631579,1,1,0.566383117,0
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,2,0,1,1,2,2,3.5,3.166666667,6.552631579,1,1,0.643294301,0
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,3,0,0,1,2,2,3.5,3.166666667,6.552631579,1,1,0.598379142,0
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,4,0,1,1,1,4,3.5,3.166666667,6.552631579,1,1,0.47777492,1
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,5,0,0,2,1,4,3.5,3.166666667,6.552631579,1,1,0.566382753,0
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,6,1,0,2,1,4,3.5,3.166666667,6.552631579,1,1,0.566382662,0
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,7,0,0,2,3,3,3.5,3.166666667,6.552631579,1,1,0.602302915,0
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,8,1,0,2,3,3,3.5,3.166666667,6.552631579,1,1,0.602302826,0
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,9,0,0,3,1,4,3.5,3.166666667,6.552631579,1,1,0.566382389,0
56,R_20OpK4n09nyWZgX,Default Response Set,Anonymous, , ,,0,12/03/2019 11:28,12/03/2019 12:00,1,382,3.673076923,2.829944964,1,9094,19,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,2,0,1,0,4,0,3,0,2,0,4,1,1,1,2,6,5,4,2,2,1,1,7,7,1,1,1,1,5,1,1,1,5,1,4,1,7,2,1,1,5,2,5,2,7,5,2,3,7,6,2,1,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,6,7,6,7,6,7,6,7,6,7,7,6,7,1,0,1,3 meses,0,0,1,1,critical,14_AF2|22_FS2|4_ASt2|25_StF|17_AS1|26_StF|3_ASt1|6_StF2|24_SF2|18_AS2|19_SA1|12_SSt2|27_AS|11_SSt1|31_FA|7_FSt1|2_StA2|15_FA1|1_StA1|5_StF1|16_FA2|21_FS1|28_AS|8_FSt2|13_AF1|30_Sst|20_SA2|29_Sst|32_FA|9_StS1|10_StS2|23_SF1,maça 4|choco4|bone4|choco3|maça 3|presente 3|queque4|caneca 4|caneta 3|presente 4|caneca 3|queque3|caneta4|bone 3,0|1,0|1,1|0,1|0,1|0,0|1|0,4|2|1|3,0|0|1,3|4|1|2,0|0|1,1|2|4|3,0|1|0,1|3|4|2,0|1|0,4|1|3|2,0|0|1,2|4|3|1,0|1|0,3|4|2|1,1|0,1|0,1|0,0|1,1|0,1|0,1|0,0|1,0|1,1|0,1|0,1|0,1|0,0|1,1|0,1|0,0|1,0|1,0|1,1|0,0|1,0|1,0|1,0|1,0|1,0|1,0|1,1|0,,,-1,1, , ,1,1,1, , ,1, , , , ,1,1, , ,1, , ,1,1,1,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, , , , , , ,1,1,10,0,1,3,4,1,3.5,3.166666667,6.552631579,1,1,0.597725345,0
